WKT,unnamed (1),unnamed (2),unnamed (3),unnamed (4)
,,PHT,LINTANG ,BUJUR
"POINT (101.97588073355212 -2.119201300085682)",BNGKO - SPNUH #0130,TOWER SUTT 150kV BNGKO - SPNUH #0130,-2.119201300085682,101.97588073355212
"POINT (101.973 -2.1203)",BNGKO - SPNUH #0131,TOWER SUTT 150kV BNGKO - SPNUH #0131,-2.1203,101.973
"POINT (101.971 -2.12091)",BNGKO - SPNUH #0132,TOWER SUTT 150kV BNGKO - SPNUH #0132,-2.12091,101.971
"POINT (101.96796407073955 -2.119846444951535)",BNGKO - SPNUH #0133,TOWER SUTT 150kV BNGKO - SPNUH #0133,-2.119846444951535,101.96796407073955
"POINT (101.96497289470622 -2.118945573681249)",BNGKO - SPNUH #0134,TOWER SUTT 150kV BNGKO - SPNUH #0134,-2.118945573681249,101.96497289470622
"POINT (101.96262721904775 -2.118055621359107)",BNGKO - SPNUH #0135,TOWER SUTT 150kV BNGKO - SPNUH #0135,-2.118055621359107,101.96262721904775
"POINT (101.95977827579742 -2.1169859273982237)",BNGKO - SPNUH #0136,TOWER SUTT 150kV BNGKO - SPNUH #0136,-2.1169859273982237,101.95977827579742
"POINT (101.95726627849076 -2.1160518331861518)",BNGKO - SPNUH #0137,TOWER SUTT 150kV BNGKO - SPNUH #0137,-2.1160518331861518,101.95726627849076
"POINT (101.95435274447316 -2.1149117284184413)",BNGKO - SPNUH #0138,TOWER SUTT 150kV BNGKO - SPNUH #0138,-2.1149117284184413,101.95435274447316
"POINT (101.95103627879662 -2.1135942629304645)",BNGKO - SPNUH #0139,TOWER SUTT 150kV BNGKO - SPNUH #0139,-2.1135942629304645,101.95103627879662
"POINT (101.9482190757882 -2.1120937256650296)",BNGKO - SPNUH #0140,TOWER SUTT 150kV BNGKO - SPNUH #0140,-2.1120937256650296,101.9482190757882
"POINT (101.94513470585207 -2.112539956920536)",BNGKO - SPNUH #0141,TOWER SUTT 150kV BNGKO - SPNUH #0141,-2.112539956920536,101.94513470585207
"POINT (101.94282494680209 -2.112919028647298)",BNGKO - SPNUH #0142,TOWER SUTT 150kV BNGKO - SPNUH #0142,-2.112919028647298,101.94282494680209
"POINT (101.94069691002373 -2.1132707176730783)",BNGKO - SPNUH #0143,TOWER SUTT 150kV BNGKO - SPNUH #0143,-2.1132707176730783,101.94069691002373
"POINT (101.93950259880448 -2.115561831524312)",BNGKO - SPNUH #0144,TOWER SUTT 150kV BNGKO - SPNUH #0144,-2.115561831524312,101.93950259880448
"POINT (101.93798534572127 -2.118342947214876)",BNGKO - SPNUH #0145,TOWER SUTT 150kV BNGKO - SPNUH #0145,-2.118342947214876,101.93798534572127
"POINT (101.93666047856742 -2.120923104456936)",BNGKO - SPNUH #0146,TOWER SUTT 150kV BNGKO - SPNUH #0146,-2.120923104456936,101.93666047856742
"POINT (101.93593358038919 -2.1239957684884576)",BNGKO - SPNUH #0147,TOWER SUTT 150kV BNGKO - SPNUH #0147,-2.1239957684884576,101.93593358038919
"POINT (101.93535915575922 -2.126182559877636)",BNGKO - SPNUH #0148,TOWER SUTT 150kV BNGKO - SPNUH #0148,-2.126182559877636,101.93535915575922
"POINT (101.93469618447128 -2.1290740044787606)",BNGKO - SPNUH #0149,TOWER SUTT 150kV BNGKO - SPNUH #0149,-2.1290740044787606,101.93469618447128
"POINT (101.93291240371754 -2.1315277321265724)",BNGKO - SPNUH #0150,TOWER SUTT 150kV BNGKO - SPNUH #0150,-2.1315277321265724,101.93291240371754
"POINT (101.9311973876524 -2.1339156893025937)",BNGKO - SPNUH #0151,TOWER SUTT 150kV BNGKO - SPNUH #0151,-2.1339156893025937,101.9311973876524
"POINT (101.92940268647173 -2.136175638784805)",BNGKO - SPNUH #0152,TOWER SUTT 150kV BNGKO - SPNUH #0152,-2.136175638784805,101.92940268647173
"POINT (101.92663080589885 -2.135839772602006)",BNGKO - SPNUH #0153,TOWER SUTT 150kV BNGKO - SPNUH #0153,-2.135839772602006,101.92663080589885
"POINT (101.9241427928958 -2.135538998061623)",BNGKO - SPNUH #0154,TOWER SUTT 150kV BNGKO - SPNUH #0154,-2.135538998061623,101.9241427928958
"POINT (101.92136206641912 -2.1351712948023636)",BNGKO - SPNUH #0155,TOWER SUTT 150kV BNGKO - SPNUH #0155,-2.1351712948023636,101.92136206641912
"POINT (101.91841706167907 -2.1348750405013726)",BNGKO - SPNUH #0156,TOWER SUTT 150kV BNGKO - SPNUH #0156,-2.1348750405013726,101.91841706167907
"POINT (101.91566241905089 -2.1346727013588627)",BNGKO - SPNUH #0157,TOWER SUTT 150kV BNGKO - SPNUH #0157,-2.1346727013588627,101.91566241905089
"POINT (101.91430339589716 -2.135720863007055)",BNGKO - SPNUH #0158,TOWER SUTT 150kV BNGKO - SPNUH #0158,-2.135720863007055,101.91430339589716
"POINT (101.91158149995987 -2.137729534910946)",BNGKO - SPNUH #0159,TOWER SUTT 150kV BNGKO - SPNUH #0159,-2.137729534910946,101.91158149995987
"POINT (101.908917 -2.139807)",BNGKO - SPNUH #0160,TOWER SUTT 150kV BNGKO - SPNUH #0160,-2.139807,101.908917
